pos,name,gameDate,team,opp,salary,fppg,fpmax,fpmin,floor,ceil,average
PG,Ty Lawson,11/30/2015,HOU,DET,4800,18.21,40.5,1.4,8.56,27.87,18.215
PG,Tyler Ennis,11/30/2015,MIL,DEN,3500,8.38,12.7,4.9,5.26,11.51,8.385
PG,Tyler Johnson,11/30/2015,MIA,BOS,3800,16.48,29.3,5.7,8.58,24.38,16.48
C,Tyler Zeller,11/30/2015,BOS,MIA,3500,7.23,15,1.7,3.06,11.41,7.235
PF,Udonis Haslem,11/30/2015,MIA,BOS,3500,6.85,13.3,1.2,1.17,12.53,6.85
C,Walter Tavares,11/30/2015,ATL,OKC,3500,1.95,2.2,1.7,1.7,2.2,1.95
SF,Wesley Johnson,11/30/2015,LAC,POR,3500,8.77,18.6,-1.8,2.92,14.61,8.765
SG,Wesley Matthews,11/30/2015,DAL,SAC,4700,17.33,37.7,0.7,9.45,25.2,17.325
SG,Will Barton,11/30/2015,DEN,MIL,5300,25.18,44.4,2.6,14.96,35.39,25.175
C,Willie Cauley-Stein,11/30/2015,SAC,DAL,3600,15.05,35.3,2.7,6.65,23.45,15.05
C,Zaza Pachulia,11/30/2015,DAL,SAC,6400,26.46,38.4,3,16.17,36.76,26.465
