name,pos,team,opp,projected_minutes,projected_FD_FP,FD_salary
"Karl-Anthony Towns","C","MIN","CHI","30.7","23.97","6400"
"Beno Udrih","PG","MEM","UTAH","18.1","12.38","3900"
"Greivis Vasquez","PG","MIL","BKN","22.6","16.81","4300"
"Rashad Vaughn","SG","MIL","BKN","2.6","1.58","3500"
"Charlie Villanueva","PF","DAL","NO","13.4","13.09","3500"
"Kemba Walker","PG","CHA","SA","32.1","27.02","7100"
"John Wall","PG","WSH","ATL","37","37.4","9500"
"C.J. Watson","PG","ORL","PHI","4.8","3.18","3600"
"David West","PF","SA","CHA","11.7","7.88","4000"
"Andrew Wiggins","SF","MIN","CHI","33.1","23.62","6700"
"C.J. Wilcox","SG","LAC","HOU","1.1","0.67","3500"
"Marvin Williams","PF","CHA","SA","33.7","20.37","5100"
"Deron Williams","PG","DAL","NO","30.8","26.76","6700"
"Christian Wood","PF","PHI","ORL","1.3","0.79","3500"
"Brandan Wright","C","MEM","UTAH","18.2","14.25","4000"
"Thaddeus Young","PF","BKN","MIL","32","21.98","5600"
"Cody Zeller","PF","CHA","SA","21.5","16.13","4000"
