name,pos,depth,team,opp,projected_minutes,projected_FD_FP,FD_salary
"Giannis Antetokounmpo","F","SF","MIL","WSH","32.1","25.62","6200"
"Derrick Rose","PG","PG","CHI","DET","28.3","22.7","7900"
"Luis Scola","FC","PF","TOR","BOS","26.9","25.8","4000"
"Evan Fournier","SG","SF","ORL","OKC","29.9","21.2","4000"
"Enes Kanter","C","C","OKC","ORL","24.9","22.47","7100"
"Mo Williams","G","PG","CLE","MIA","28.2","22.81","5800"
"David West","PF","PF","SA","BKN","28.4","27.64","4800"
"Alec Burks","G","SG","UTAH","PHI","28.7","20.2","5600"
"Ben McLemore","SG","SG","SAC","LAL","29.7","22.31","4500"
"Jarrett Jack","G","PG","BKN","SA","28.6","24.89","6200"
"Marco Belinelli","GF","SG","SAC","LAL","26.6","20.04","3900"
"Khris Middleton","GF","SG","MIL","WSH","31.1","23.51","5800"
"Tim Hardaway Jr.","SG","SG","ATL","CHA","29.3","20.24","3900"
"Ersan Ilyasova","F","PF","DET","CHI","29.4","20.48","5000"
"C.J. McCollum","G","SG","POR","PHX","25.2","19.77","6000"
"Terrence Jones","F","PF","HOU","GS","31.1","28.26","6000"
"Manu Ginobili","GF","SG","SA","BKN","25.7","24.51","4200"
"Harrison Barnes","F","SF","GS","HOU","30.8","22.38","4600"
"Rajon Rondo","PG","PG","SAC","LAL","32","28.58","5100"
"Jeremy Lin","G","PG","CHA","ATL","30.9","24.24","4800"
"Draymond Green","F","PF","GS","HOU","32.6","28.78","7800"
"Roy Hibbert","C","C","LAL","SAC","29.3","25.55","5400"
"Kyle Korver","GF","SG","ATL","CHA","32.6","23.12","5400"
"Kentavious Caldwell-Pope","SG","SG","DET","CHI","30.4","19.2","5000"
"Elfrid Payton","PG","PG","ORL","OKC","31","26.74","7500"
"Kevin Garnett","FC","PF","MIN","DEN","26.9","25.2","4000"
"Nikola Mirotic","F","PF","CHI","DET","25.7","23.8","6000"
"Rodney Hood","GF","SG","UTAH","PHI","25.8","17.77","4300"
"Andre Iguodala","GF","SF","GS","HOU","30.1","23.86","4300"
"Taj Gibson","FC","PF","CHI","DET","29.4","23.28","4500"
"Isaiah Canaan","PG","PG","PHI","UTAH","26","19.34","5300"
"Hassan Whiteside","C","C","MIA","CLE","26.5","23.1","7300"
"Aaron Brooks","PG","PG","CHI","DET","24.6","19.45","4200"
"Tyler Zeller","FC","C","BOS","TOR","24.4","19.94","4800"
"Mario Chalmers","G","SG","MIA","CLE","26.8","20.79","4000"
"Avery Bradley","G","SG","BOS","TOR","28.2","17.59","5700"
"Nerlens Noel","FC","PF","PHI","UTAH","29.2","26.03","7600"
"Omri Casspi","SF","SF","SAC","LAL","21.6","17.61","3900"
"Randy Foye","G","SG","DEN","MIN","23.8","19.1","4100"
"D.J. Augustin","PG","PG","OKC","ORL","27.2","21.24","3900"
"Nicolas Batum","GF","SG","CHA","ATL","31.7","21.29","6300"
"Marcus Morris","F","SF","DET","CHI","26.8","17.04","5600"
"Kelly Olynyk","C","C","BOS","TOR","22.2","18.49","4000"
"Evan Turner","GF","SF","BOS","TOR","29.1","25.86","6200"
"David Lee","FC","PF","BOS","TOR","22.9","21.85","5400"
"Greivis Vasquez","G","SG","MIL","WSH","22.9","17.29","4500"
"Mason Plumlee","FC","C","POR","PHX","24.5","22.97","5000"
"Tyson Chandler","C","C","PHX","POR","30.5","27.68","5900"
"Trevor Ariza","GF","SF","HOU","GS","31.7","20.86","5600"
"Anthony Morrow","GF","SG","OKC","ORL","26.5","16.2","4100"
"Steven Adams","C","C","OKC","ORL","27","24.81","4200"
"Emmanuel Mudiay","PG","PG","DEN","MIN","25.2","19.87","5500"
"Jameer Nelson","PG","PG","DEN","MIN","26.2","20.59","4800"
"Kris Humphries","FC","PF","WSH","MIL","27.5","23.46","4400"
"Gary Neal","G","SG","WSH","MIL","23.2","15.62","3800"
"Cody Zeller","FC","C","CHA","ATL","28.2","24.02","4000"
"Channing Frye","FC","PF","ORL","OKC","26","18.59","3800"
"Jason Smith","FC","PF","ORL","OKC","23.1","18.18","3800"
"Boris Diaw","FC","PF","SA","BKN","24.4","18.47","4200"
"Wayne Ellington","SG","SG","BKN","SA","27.7","15.72","3900"
"Nene Hilario","FC","PF","WSH","MIL","26.5","19.3","4200"
"Ramon Sessions","G","PG","WSH","MIL","23.4","17.28","4100"
"Marcus Smart","PG","PG","BOS","TOR","28.7","21.36","5800"
