pos,name,gameDate,team,opp,salary,fppg,fpmax,fpmin,floor,ceil,average
"PG","Reggie Jackson","2015-11-16","DET","LAL","8000","33.61","55.5","23.3","23.99","43.23","33.61"
"PG","Ricky Rubio","2015-11-16","MIN","MEM","7400","34.37","52.4","20.7","24.12","44.62","34.37"
"C","Robert Sacre","2015-11-16","LAL","DET","3500","3.4","3.4","3.4","3.4","3.4","3.4"
"C","Robin Lopez","2015-11-16","NYK","NOP","4600","20.25","35.6","10.5","11.6","28.9","20.25"
"SG","Rodney Hood","2015-11-16","UTA","ATL","4500","21.14","29.5","16.2","16.76","25.52","21.14"
"C","Roy Hibbert","2015-11-16","LAL","DET","5400","23.14","37","12.4","14.79","31.49","23.14"
"SF","Rudy Gay","2015-11-16","SAC","TOR","7500","29.49","36.7","22","24.66","34.32","29.49"
"C","Rudy Gobert","2015-11-16","UTA","ATL","7700","31.23","35.2","26.8","27.76","34.7","31.23"
"PG","Russ Smith","2015-11-16","MEM","MIN","3500","4.56","7.2","2","2.37","6.75","4.56"
"PG","Russell Westbrook","2015-11-16","OKC","BOS","11400","51.27","71.2","39.8","42.74","59.79","51.265"
"PF","Ryan Anderson","2015-11-16","NOP","NYK","6000","27.12","39.2","14.2","19.64","34.61","27.125"
"SG","Sasha Vujacic","2015-11-16","NYK","NOP","3500","14.6","30.7","8.3","7.76","21.44","14.6"
"PF","Serge Ibaka","2015-11-16","OKC","BOS","7100","30.27","41.4","17.5","22.14","38.39","30.265"
"SG","Seth Curry","2015-11-16","SAC","TOR","3500","6.8","11","4.7","4.33","9.27","6.8"
"SF","Shabazz Muhammad","2015-11-16","MIN","MEM","3600","11.26","23.7","2.2","4.04","18.47","11.255"
"PG","Shelvin Mack","2015-11-16","ATL","UTA","3500","0.4","0.4","0.4","0.4","0.4","0.4"
"PG","Spencer Dinwiddie","2015-11-16","DET","LAL","3500","1.2","1.2","1.2","1.2","1.2","1.2"
"C","Spencer Hawes","2015-11-16","CHA","POR","3500","11.72","20.8","4.4","6.84","16.61","11.725"
"SF","Stanley Johnson","2015-11-16","DET","LAL","4000","14.54","28.4","2","7.33","21.76","14.545"
"PG","Steve Blake","2015-11-16","DET","LAL","3500","9.18","16.3","0.5","4.79","13.56","9.175"
"SF","Steve Novak","2015-11-16","OKC","BOS","3500","4.2","4.2","4.2","4.2","4.2","4.2"
"C","Steven Adams","2015-11-16","OKC","BOS","4300","17.99","27.6","9.1","11.99","23.99","17.99"
"C","Tarik Black","2015-11-16","LAL","DET","3600","10.22","15.6","1.2","5.11","15.32","10.215"
"SF","Tayshaun Prince","2015-11-16","MIN","MEM","3500","8.62","15.2","3.2","4.6","12.65","8.625"
"SG","Terrence Ross","2015-11-16","TOR","SAC","3500","10.44","23.8","2","2.36","18.53","10.445"
"PG","Terry Rozier","2015-11-16","BOS","OKC","3500","5.65","10.7","1.2","2.15","9.15","5.65"
