name,pos,depth,team,opp,projected_minutes,projected_FD_FP,FD_salary
"Solomon Hill","SF","IND","BOS","6.5","0","4.28"
"Bryce Cotton","PG","UTAH","POR","4.8","0","3.2"
"Nick Collison","C","OKC","TOR","8.1","0","5.31"
"Jon Leuer","PF","PHX","SAC","3.7","0","3.37"
"Quincy Miller","SF","BKN","ATL","4.9","0","3.06"
"C.J. Watson","PG","ORL","HOU","3.8","0","2.85"
"Donald Sloan","PG","BKN","ATL","3.6","0","2.29"
"Chris Johnson","SF","UTAH","POR","4","0","2.47"
"Quincy Acy","PF","SAC","PHX","3.7","0","2.61"
"David Stockton","PG","SAC","PHX","3.5","0","2.21"
"Archie Goodwin","SG","PHX","SAC","2.8","0","2.16"
"Tyler Harvey","SF","ORL","HOU","2.8","0","2.2"
"Marcus Thornton","SG","HOU","ORL","2.3","0","1.81"
"Jason Terry","PG","HOU","ORL","3.7","0","2.55"
"Mike Muscala","PF","ATL","BKN","3.5","0","2.51"
"Lavoy Allen","PF","IND","BOS","3.3","0","2.97"
"Noah Vonleh","PF","POR","UTAH","4.5","0","3.13"
"Lance Thomas","PF","NY","CLE","4.2","0","2.12"
"James Michael McAdoo","PF","GS","LAC","3.2","0","2.85"
"Festus Ezeli","C","GS","LAC","4.3","0","3.19"
"Jorge Gutierrez","PG","MIL","PHI","3.2","0","2.28"
"James Jones","SF","CLE","NY","2.8","0","1.61"
"Shelvin Mack","PG","ATL","BKN","2.4","0","2.06"
"Perry Jones III","SF","BOS","IND","3.3","0","1.51"
"Jonas Jerebko","PF","BOS","IND","2.9","0","1.63"
"C.J. Wilcox","SF","LAC","GS","2.1","0","1.49"
"Elijah Millsap","SG","UTAH","POR","2.6","0","1.93"
"Guillermo Hernangomez","C","NY","CLE","2.4","0","1.53"
"Garrett Temple","SG","WSH","SA","2.4","0","1.56"
"Drew Gooden","PF","WSH","SA","2.9","0","2.09"
"Montrezl Harrell","PF","HOU","ORL","1.6","0","1.11"
"Glenn Robinson III","PF","IND","BOS","2.4","0","1.46"
"Branden Dawson","PF","LAC","GS","1.7","0","1.09"
"Luc Mbah a Moute","PF","LAC","GS","1.8","0","1.36"
"Tim Frazier","PG","POR","UTAH","2.1","0","1.66"
"Dakari Johnson","C","OKC","TOR","1.8","0","1.01"
"Cameron Payne","PG","OKC","TOR","1.8","0","1.01"
"Andre Roberson","SG","OKC","TOR","2.7","0","1.6"
"Furkan Aldemir","C","PHI","MIL","2.4","0","1.89"
"JaKarr Sampson","SG","PHI","MIL","2.1","0","1.21"
"Clint Capela","C","HOU","ORL","2.4","0","1.57"
"Matt Bonner","C","SA","WSH","2.2","0","1.31"
"Shayne Whittington","C","IND","BOS","1.2","0","0.86"
"Ian Clark","PG","GS","LAC","1.5","0","1.02"
"Norman Powell","SG","TOR","OKC","1.3","0","0.91"
"Delon Wright","PG","TOR","OKC","1.3","0","0.91"
"Rashad Vaughn","SG","MIL","PHI","1.6","0","1.11"
"Damien Inglis","SF","MIL","PHI","1.6","0","1.11"
"Joe Harris","SG","CLE","NY","1.6","0","0.67"
"Jordan Mickey","PF","BOS","IND","1.2","0","0.76"
