"SG","Marcus Thornton","2015-11-20","HOU","MEM","4300","21.69","45.1","6.9","10.27","33.11","21.69"
"PG","Mario Chalmers","2015-11-20","MEM","HOU","4400","18.27","33.9","6.7","9.85","26.68","18.265"
"SG","Markel Brown","2015-11-20","BKN","BOS","3500","8.06","14.4","3","3.76","12.36","8.06"
"PF","Markieff Morris","2015-11-20","PHO","DEN","5400","21.06","29.6","7.2","13.21","28.9","21.055"
"PF","Marreese Speights","2015-11-20","GSW","CHI","3500","10.53","22.3","3","4.81","16.24","10.525"
"PF","Marvin Williams","2015-11-20","CHA","PHI","5000","24.18","35.4","8.7","16.91","31.46","24.185"
"C","Mason Plumlee","2015-11-20","POR","LAC","5500","25.08","37.2","12.8","17.76","32.39","25.075"
"SF","Matt Barnes","2015-11-20","MEM","HOU","3500","13.43","23.7","1.2","5.82","21.03","13.425"
"C","Matt Bonner","2015-11-20","SAS","NOP","3500","1.1","1.2","1","1","1.2","1.1"
"SF","Metta World Peace","2015-11-20","LAL","TOR","3600","15.12","20.5","5.6","10.12","20.11","15.115"
"C","Meyers Leonard","2015-11-20","POR","LAC","4400","16.94","28.1","4.6","9.25","24.64","16.945"
"PG","Mike Conley","2015-11-20","MEM","HOU","6700","28.15","44.3","11.9","19.9","36.4","28.15"
"SF","Mike Miller","2015-11-20","DEN","PHO","3500","5.28","11.4","1.4","1.59","8.97","5.28"
"PF","Mirza Teletovic","2015-11-20","PHO","DEN","3500","11.41","24.3","2","4.24","18.58","11.41"
"PF","Mitch McGary","2015-11-20","OKC","NYK","3500","3.85","11.3","-2","-0.94","8.64","3.85"
"SF","Moe Harkless","2015-11-20","POR","LAC","3500","13.83","31","1.5","6.77","20.9","13.835"
"PF","Montrezl Harrell","2015-11-20","HOU","MEM","3500","8.44","22.6","1.2","1.5","15.38","8.44"
"SF","Nemanja Bjelica","2015-11-20","MIN","DET","4000","18.62","39.7","5.2","9.51","27.73","18.62"
"PF","Nerlens Noel","2015-11-20","PHI","CHA","6700","25.44","46.4","3.6","12.12","38.76","25.44"
"PF","Nick Collison","2015-11-20","OKC","NYK","3500","8.19","18.6","-1","2.03","14.35","8.19"
"SG","Nick Young","2015-11-20","LAL","TOR","3500","14.45","29.9","7.6","7.31","21.59","14.45"
"SF","Nicolas Batum","2015-11-20","CHA","PHI","7000","29.04","42.6","10.2","19.77","38.3","29.035"
"SG","Nik Stauskas","2015-11-20","PHI","CHA","4000","16.51","31.1","-2","7.33","25.69","16.51"
"C","Nikola Jokic","2015-11-20","DEN","PHO","4100","15.34","47.4","1","3.23","27.44","15.335"
"SF","Nikola Mirotic","2015-11-20","CHI","GSW","5400","20.67","34.3","6.3","11.04","30.3","20.67"
"PF","Noah Vonleh","2015-11-20","POR","LAC","3500","7.1","12.7","1","3.48","10.72","7.1"
"SG","Norman Powell","2015-11-20","TOR","LAL","3500","5.46","15.3","1.2","0.32","10.6","5.46"
"C","Omer Asik","2015-11-20","NOP","SAS","3500","7.68","13.4","1.2","3.02","12.34","7.68"
"SF","P.J. Hairston","2015-11-20","CHA","PHI","3500","9.11","16","5.5","5.56","12.67","9.115"
"SF","P.J. Tucker","2015-11-20","PHO","DEN","4400","15.75","28.4","3.2","9.1","22.41","15.755"
"PG","Pablo Prigioni","2015-11-20","LAC","POR","3600","6.75","19.3","1","-0.65","14.15","6.75"
"SG","Pat Connaughton","2015-11-20","POR","LAC","3500","1.73","5","-1","-0.75","4.21","1.73"
"PG","Patrick Beverley","2015-11-20","HOU","MEM","3500","10.49","20.1","0.5","4.98","15.99","10.485"
"PF","Patrick Patterson","2015-11-20","TOR","LAL","3500","11.44","20.9","3.9","5.98","16.91","11.445"
"PG","Patty Mills","2015-11-20","SAS","NOP","3900","16.66","31.7","4.7","8.17","25.16","16.665"
"PF","Pau Gasol","2015-11-20","CHI","GSW","7800","32.84","45.8","18.4","25.02","40.65","32.835"
"SF","Paul Pierce","2015-11-20","LAC","POR","3700","13.64","24.1","2.9","6.98","20.29","13.635"
"SG","Randy Foye","2015-11-20","DEN","PHO","3500","9.43","18.7","-1","3.17","15.68","9.425"
"SF","Rasual Butler","2015-11-20","SAS","NOP","3500","9.56","17.4","2.2","4.04","15.07","9.555"
"PG","Raulzinho Neto","2015-11-20","UTA","DAL","3500","10.25","18.7","2.4","5.09","15.41","10.25"
"PG","Ray McCallum","2015-11-20","SAS","NOP","3500","4.33","10.6","0.5","0.32","8.33","4.325"
"PG","Raymond Felton","2015-11-20","DAL","UTA","3600","15.16","31.8","5.4","6.79","23.53","15.16"
"SF","Reggie Bullock","2015-11-20","DET","MIN","3500","0.97","2.4","-1","-0.47","2.41","0.97"
"PG","Reggie Jackson","2015-11-20","DET","MIN","7800","34.77","55.5","23.3","25.01","44.53","34.77"
"PF","Richaun Holmes","2015-11-20","PHI","CHA","3700","10.31","19.1","3","4.52","16.11","10.315"
"PG","Ricky Rubio","2015-11-20","MIN","DET","7300","33.36","52.4","20.7","23.25","43.48","33.365"
"SF","Robert Covington","2015-11-20","PHI","CHA","5500","13.97","17.5","10.4","11.07","16.87","13.97"
"C","Robert Sacre","2015-11-20","LAL","TOR","3500","3.4","3.4","3.4","3.4","3.4","3.4"
"C","Robin Lopez","2015-11-20","NYK","OKC","4400","19.33","35.6","10.5","11.13","27.52","19.325"
"SG","Rodney Hood","2015-11-20","UTA","DAL","4700","21.81","29.5","16.2","17.26","26.36","21.81"
"SF","Rondae Hollis-Jefferson","2015-11-20","BKN","BOS","3500","15.61","30.6","5.1","8.22","22.99","15.605"
"PG","Ronnie Price","2015-11-20","PHO","DEN","3500","8.68","15.4","-2","2.48","14.88","8.68"
"C","Roy Hibbert","2015-11-20","LAL","TOR","5400","23.42","37","12.4","15.46","31.38","23.42"
"C","Rudy Gobert","2015-11-20","UTA","DAL","7400","29.26","35.2","15.5","23.13","35.39","29.26"
"PG","Russ Smith","2015-11-20","MEM","HOU","3500","4.56","7.2","2","2.37","6.75","4.56"
"PG","Russell Westbrook","2015-11-20","OKC","NYK","11700","53.73","71.2","39.8","44.41","63.05","53.73"
"PF","Ryan Anderson","2015-11-20","NOP","SAS","6400","28.43","43.9","14.2","19.87","37","28.435"
"C","Salah Mejri","2015-11-20","DAL","UTA","3500","3.67","7.6","1.2","0.86","6.48","3.67"
"SF","Sam Dekker","2015-11-20","HOU","MEM","3500","3.2","3.2","3.2","3.2","3.2","3.2"
"SG","Sasha Vujacic","2015-11-20","NYK","OKC","3500","12","30.7","1.2","3.97","20.03","12"
"PF","Serge Ibaka","2015-11-20","OKC","NYK","6900","29.25","41.4","16.5","20.83","37.66","29.245"
"SF","Sergey Karasev","2015-11-20","BKN","BOS","3500","2.1","3.2","1","1","3.2","2.1"
"SF","Shabazz Muhammad","2015-11-20","MIN","DET","3500","11.54","23.7","2.2","4.76","18.32","11.54"
"PG","Shane Larkin","2015-11-20","BKN","BOS","4200","14.52","26.6","1.7","7.02","22.02","14.52"
"PG","Shaun Livingston","2015-11-20","GSW","CHI","3500","10.82","15.8","5.2","8.21","13.43","10.82"
"SF","Sonny Weems","2015-11-20","PHO","DEN","3500","3.98","8.1","1.4","1.52","6.43","3.975"
"PG","Spencer Dinwiddie","2015-11-20","DET","MIN","3500","3.95","6.7","1.2","1.2","6.7","3.95"
"C","Spencer Hawes","2015-11-20","CHA","PHI","3700","13.44","22.5","4.4","7.69","19.19","13.44"
